   2.2912718e-02  -2.6916386e-02   2.1977557e-02  -2.2251781e-02   3.2287698e-02   4.5339739e-02   1.0973350e-02  -4.9105133e-03   4.1832126e-02   3.7949992e-03
   2.0061526e-01   1.5882034e-01   1.3940987e-01   3.0378305e-01   2.4650455e-01   3.5212174e-01   2.7243694e-01   2.5801255e-01   1.1547954e-01   2.0467013e-01
   1.2613419e+00   1.1552310e+00   1.4945773e+00   8.7563850e-01   1.2044331e+00   1.2633634e+00   1.0966117e+00   1.2628508e+00   1.5715285e+00   1.0312543e+00
   2.6619081e+00   2.3440911e+00   2.9828849e+00   2.4074718e+00   2.5109694e+00   3.1896701e+00   3.0112935e+00   2.5413837e+00   3.0687525e+00   2.5702062e+00
   4.3139121e+00   4.9531415e+00   5.1095136e+00   4.1107972e+00   4.2635981e+00   4.6590072e+00   4.4993871e+00   4.1885142e+00   4.1972250e+00   3.9847234e+00
   4.4720877e+00   5.3528871e+00   4.9193359e+00   5.3232032e+00   6.4458875e+00   5.4322249e+00   6.0466656e+00   4.9556260e+00   5.9492493e+00   4.7212408e+00
   6.0412896e+00   6.2947768e+00   6.4410687e+00   6.1104331e+00   5.6849212e+00   5.6247553e+00   5.8448572e+00   5.7129304e+00   5.9084073e+00   5.7434204e+00
   7.1874321e+00   6.7401307e+00   6.7463660e+00   6.2299043e+00   6.7433036e+00   6.7645614e+00   6.1852427e+00   6.0687751e+00   5.7256356e+00   7.0175264e+00
   6.4005325e+00   6.8972043e+00   6.9142652e+00   6.9180670e+00   6.5759313e+00   6.7691115e+00   6.7313232e+00   7.5082997e+00   6.3329726e+00   6.7786985e+00
   7.5264824e+00   7.2205964e+00   6.5052047e+00   7.3969626e+00   5.7403519e+00   6.7875261e+00   7.7641179e+00   7.2572803e+00   7.3962311e+00   6.9769524e+00
   6.9205494e+00   7.4335586e+00   8.2063829e+00   6.9738544e+00   7.7868546e+00   6.8447105e+00   6.8967825e+00   7.4120201e+00   6.6717819e+00   7.5510019e+00
   6.3413202e+00   5.9886523e+00   7.0702707e+00   7.3035408e+00   7.7561727e+00   7.2034937e+00   7.6026810e+00   7.2613049e+00   7.4712067e+00   6.6829963e+00
